question,answers
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
what is Food Supply Continuum,The process of getting food from the farm to the table
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
what is a major source of greenhouse gas emissions,Animal husbandry
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
what is animal welfare?,refers to the conditions in which an animal is raised
Describe the impact of the Animal Husbandry Infrastructure Development Fund (2022) on improving livestock rearing conditions.,"This initiative aims to boost animal husbandry infrastructure, benefiting farmers by improving livestock rearing conditions and increasing income opportunities."
What is the mode of transmission for Tristeza or quick decline within citrus orchards?,"Tristeza or quick decline spreads within citrus orchards primarily through the utilization of infected budwood and the aphid Toxoptera citricida, which serves as a significant vector for the Citrus tristeza virus (CTV). Additionally, the virus can spread through the movement of infected trees and grafting practices. Once introduced into an orchard, CTV can rapidly disseminate, leading to widespread infection and the appearance of characteristic symptoms."
